
57,2,10,Win

57,4,5,Win

57,7,9,Win

57,9,7,Lose

57,7,12,Lose

57,4,7,Win

57,3,7,Lose

57,3,9,Lose

57,9,8,Lose

57,4,8,Lose

57,12,8,Lose

57,7,6,Win

57,10,9,Lose

57,9,8,Lose

57,5,6,Lose

57,8,3,Win

57,7,6,Win

57,5,9,Lose

57,5,2,Win

57,4,6,Win

57,15,7,Win

57,9,10,Lose

57,5,4,Win

57,12,8,Win

57,6,10,Lose

57,4,7,Win

57,14,6,Lose

57,11,11,Lose

57,6,10,Lose

57,5,2,Win

57,9,9,Lose

57,7,9,Lose

57,4,8,Lose

57,6,8,Lose

57,15,7,Win

57,13,9,Lose

57,8,8,Lose

57,10,3,Win

57,11,7,Lose

57,8,8,Lose

57,14,7,Win

57,18,6,Lose

57,14,10,Win

57,19,7,Win

57,6,6,Lose

57,13,4,Win

57,12,10,Win

57,2,4,Win

57,7,6,Lose

57,8,9,Lose
