
93,6,8,Lose

93,1,8,Win

93,3,2,Win

93,2,3,Win

93,4,9,Lose

93,2,9,Lose

93,2,10,Lose

93,3,10,Win

93,3,9,Lose

93,5,12,Win

93,5,11,Lose

93,5,9,Win

93,1,7,Lose

93,7,9,Win

93,1,9,Lose

93,1,8,Lose

93,5,9,Lose

93,5,10,Lose

93,3,7,Lose

93,6,10,Lose

93,5,3,Win

93,7,9,Lose

93,3,9,Lose

93,3,2,Win

93,1,11,Lose

93,1,9,Lose

93,3,3,Win

93,8,9,Lose

93,6,8,Lose

93,1,8,Lose

93,5,6,Lose

93,6,6,Win

93,8,6,Win

93,5,5,Win

93,1,8,Lose

93,7,10,Lose

93,6,6,Win

93,7,9,Win

93,9,6,Lose

93,4,3,Win

93,10,7,Lose
