
38,12,9,Lose

38,4,8,Lose

38,9,12,Lose

38,6,7,Lose

38,7,8,Win

38,8,7,Win

38,13,6,Win

38,4,9,Win

38,5,11,Lose

38,2,4,Lose

38,9,8,Lose

38,15,5,Win

38,1,5,Lose

38,14,3,Win

38,2,8,Lose

38,8,5,Win

38,8,7,Lose

38,12,10,Lose

38,9,10,Lose

38,10,12,Lose

38,10,9,Lose

38,6,6,Win

38,11,9,Win

38,5,8,Lose

38,9,13,Win

38,7,7,Win

38,3,9,Lose

38,15,8,Win

38,8,3,Win

38,11,10,Lose

38,4,12,Lose

38,8,4,Win

38,3,8,Lose

38,5,3,Win

38,10,3,Win

38,5,12,Win

38,6,9,Win

38,4,6,Win

38,7,10,Lose

38,9,9,Win

38,5,9,Lose

38,11,5,Win

38,0,7,Win

38,9,8,Win

38,7,9,Lose

38,7,9,Lose

38,6,7,Lose
