
35,13,9,Lose

35,3,6,Lose

35,5,10,Lose

35,12,8,Lose

35,9,10,Win

35,9,5,Win

35,8,7,Win

35,8,6,Win

35,3,6,Lose

35,4,5,Win

35,5,4,Win

35,12,6,Lose

35,9,4,Win

35,3,6,Lose

35,8,7,Lose

35,11,1,Win

35,7,8,Lose

35,10,9,Win

35,5,10,Win

35,7,8,Lose

35,4,7,Win

35,5,12,Lose

35,5,7,Lose

35,8,2,Win

35,9,9,Win

35,5,7,Lose

35,6,7,Lose

35,10,8,Lose

35,10,8,Win

35,9,5,Win

35,4,7,Win

35,6,12,Lose

35,5,7,Win

35,12,8,Lose

35,7,10,Lose

35,4,4,Lose

35,17,1,Win

35,5,9,Win

35,14,8,Win

35,5,2,Win

35,9,7,Lose

35,6,9,Lose

35,2,7,Lose

35,7,6,Win

35,14,6,Win

35,12,9,Lose

35,7,9,Lose

35,9,7,Win

35,13,6,Lose

35,15,6,Win

35,7,10,Lose
